"pair","convergence","sigma_ide","sigma_pe_1","sigma_pe_2","sigma_res_1","sigma_res_c","sigma_res_2","sigma_ped_1","sigma_ped_c","sigma_ped_2","h2_1","h2_1_se","h2_2","h2_2_se","rg","rg_se","re","re_se","rp","rp_se","h2_1_check","h2_2_check","rg_check","re_check","rp_check","check_agree_rg","check_agree_rp"
"mbw_co2","CONVERGED",1.28044,1.28044,9628.72,0.970348,58.1128,31220.2,3.03833,249.794,30042.1,0.5744,0.0198,0.4238,0.0178,0.8268,0.0183,0.3339,0.0107,0.5028,0.009,0.574449274907461,0.42377863938197,0.826797943804477,0.333879845003977,0.502842572511863,TRUE,TRUE
"methane_adg","CONVERGED",1.01105,1.01105,0.00159283,10.7277,0.00392109,0.000133757,4.18649,0.0290681,0.000778682,0.2629,0.0203,0.3108,0.0563,0.5091,0.0728,0.1035,0.0296,0.1652,0.0202,0.262883950257579,0.310817720572122,0.509109907479371,0.10351308235038,0.165158708044715,TRUE,TRUE
"methane_adg_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_adg_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4adg","CONVERGED",1.19147,1.19147,2039.03,10.6998,103.959,8091.13,3.97092,27.61,1356.36,0.2503,0.0202,0.1181,0.0281,0.3762,0.0849,0.3533,0.0189,0.3082,0.0171,0.25033869850254,0.118082761358532,0.376212612360928,0.35332118130577,0.308232027812257,TRUE,TRUE
"methane_ch4adg_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4lw","UNKNOWN",1.77883,1.77883,0.000777187,636.715,-0.405457,0.00273876,330.061,2.25312,0.0678873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340776783901847,0.950759284098103,0.475984651630231,-0.307040223761379,0.222178318563499,NA,NA
"methane_ch4mbw","CONVERGED",0.574393,0.574393,0.00157833,10.8562,0.43942,0.0199704,4.53754,0.141532,0.00614136,0.2842,0.015,0.2218,0.014,0.8478,0.0152,0.9437,0.0013,0.8737,0.0026,0.284162212326263,0.221789094943353,0.847836545212437,0.943729476626472,0.873677189193371,TRUE,TRUE
"methane_ch4mbw_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_cg_het_scale_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_cg_het_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_mature","CONVERGED",0.243343,0.243343,0.00196389,14.2407,0.520988,0.0207471,4.32137,0.132724,0.00558904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229793942839756,0.197492370149431,0.854024100539682,0.958480653723637,0.896089877508469,NA,NA
"methane_ch4mbw_stage_het_scale_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_stage_het_trial","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4mbw_young","CONVERGED",0.990636,0.990636,0.000119662,6.06608,0.314872,0.0175222,2.61251,0.116032,0.00712294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270188120538293,0.287623539247356,0.850587809725957,0.965796571577556,0.88057680157589,NA,NA
"methane_ch4muscle","CONVERGED",1.03149,1.03149,0,10.7712,0.810985,0.0710369,4.04271,0.333344,0.0380352,0.2551,0.0187,0.3487,0.0471,0.8501,0.0434,0.9271,0.0166,0.8704,0.0082,0.255134613200045,0.348716124471794,0.850087237296964,0.92712603349929,0.870447261377195,TRUE,TRUE
"methane_ch4muscle_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4ratio","CONVERGED",0.515832,0.515832,0,10.8534,0.00574048,1.69052e-05,4.56054,0.00240724,2.511e-06,0.2863,0.0173,0.1293,0.0086,0.7114,0.03,0.4238,0.0081,0.4633,0.0072,0.286290349918379,0.12932499665228,0.711357476345744,0.423794334995278,0.463286022400972,TRUE,TRUE
"methane_ch4ratio_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4ratio_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4rmtadg","CONVERGED",0.0148453,0.0148453,0,10.9311,10.92,10.9101,5.11814,5.03427,4.95675,0.3186,0.0129,0.3124,0.0129,0.9995,1e-04,0.9999,0,0.9993,0,0.318607620939363,0.312396600459449,0.99949796869714,0.999945520166084,0.999317697560716,TRUE,TRUE
"methane_ch4rmtadg_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_ch4rmtmbw","CONVERGED",0.388634,0.388634,0.769521,10.8252,10.205,10.1569,4.88624,3.39221,3.18649,0.3035,0.0147,0.2258,0.0138,0.8597,0.013,0.9732,6e-04,0.902,0.0021,0.303491772770734,0.225785452767328,0.859684413476486,0.973227688770154,0.90204367891547,TRUE,TRUE
"methane_ch4rmtmbw_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
